学校名,住所,区,学校種別,設置区分,特別支援
さいたま市立岩槻小学校,埼玉県さいたま市岩槻区本町５－６－４５,岩槻区,小学校,公立,知的固定・情緒固定あり
さいたま市立太田小学校,埼玉県さいたま市岩槻区仲町１－１７－３,岩槻区,小学校,公立,知的固定・情緒固定あり
さいたま市立川通小学校,埼玉県さいたま市岩槻区大字大野島４２２－１,岩槻区,小学校,公立,知的固定・情緒固定あり
さいたま市立柏崎小学校,埼玉県さいたま市岩槻区大字柏崎７６２,岩槻区,小学校,公立,知的固定・情緒固定あり
さいたま市立和土小学校,埼玉県さいたま市岩槻区大字黒谷１３５３,岩槻区,小学校,公立,知的固定・情緒固定あり
さいたま市立新和小学校,埼玉県さいたま市岩槻区尾ヶ崎１２５２,岩槻区,小学校,公立,知的固定・情緒固定あり
さいたま市立慈恩寺小学校,埼玉県さいたま市岩槻区大字慈恩寺２５９,岩槻区,小学校,公立,知的固定・情緒固定あり
さいたま市立河合小学校,埼玉県さいたま市岩槻区大字平林寺３５１,岩槻区,小学校,公立,知的固定・情緒固定あり
さいたま市立東岩槻小学校,埼玉県さいたま市岩槻区諏訪２－６－１,岩槻区,小学校,公立,知的固定・情緒固定あり
さいたま市立城北小学校,埼玉県さいたま市岩槻区岩槻６６１９,岩槻区,小学校,公立,知的固定・情緒固定あり
さいたま市立徳力小学校,埼玉県さいたま市岩槻区徳力１３６－４,岩槻区,小学校,公立,知的固定・情緒固定あり
さいたま市立上里小学校,埼玉県さいたま市岩槻区上里２－２,岩槻区,小学校,公立,知的固定・情緒固定あり
さいたま市立西原小学校,埼玉県さいたま市岩槻区西原６番２５号,岩槻区,小学校,公立,知的固定・情緒固定あり
さいたま市立城南小学校,埼玉県さいたま市岩槻区南下新井１１９１－１,岩槻区,小学校,公立,知的固定・情緒固定あり
さとえ学園小学校,埼玉県さいたま市北区本郷町１８１３,北区,小学校,私立,
青山学院大学系属浦和ルーテル学院小学校,埼玉県さいたま市緑区大字大崎３６４２,緑区,小学校,私立,
開智小学校,埼玉県さいたま市岩槻区徳力西１８６,岩槻区,小学校,私立,
埼玉大学教育学部附属中学校,埼玉県さいたま市南区別所４－２－５,南区,中学校,国立,
さいたま市立指扇中学校,埼玉県さいたま市西区西大宮３丁目３１番地１,西区,中学校,公立,知的固定・情緒固定あり
さいたま市立馬宮中学校,埼玉県さいたま市西区二ツ宮５８９－１,西区,中学校,公立,知的固定・情緒固定あり
さいたま市立大宮西中学校,埼玉県さいたま市西区三橋６－１５５８,西区,中学校,公立,知的固定・情緒固定あり
